type;latitude;longitude
T;12.458848000;-11.398631000
T;12.458857000;-11.398666000
T;12.458870000;-11.398720000
T;12.458892000;-11.398809000
T;12.458913000;-11.398895000
T;12.458913000;-11.398895000
T;12.458913000;-11.398898000
T;12.458934000;-11.398988000
T;12.458936000;-11.399001000
T;12.458951000;-11.399078000
T;12.458963000;-11.399150000
T;12.458966000;-11.399169000
T;12.458978000;-11.399260000
T;12.458987000;-11.399352000
T;12.458988000;-11.399368000
T;12.458993000;-11.399443000
T;12.458996000;-11.399535000
T;12.458997000;-11.399627000
T;12.458995000;-11.399719000
T;12.458990000;-11.399811000
T;12.458986000;-11.399859000
T;12.458986000;-11.399859000
T;12.458983000;-11.399897000
T;12.458982000;-11.399902000
T;12.458974000;-11.399994000
T;12.458967000;-11.400086000
T;12.458959000;-11.400177000
T;12.458951000;-11.400269000
T;12.458943000;-11.400360000
T;12.458935000;-11.400452000
T;12.458927000;-11.400544000
T;12.458919000;-11.400635000
T;12.458911000;-11.400727000
T;12.458911000;-11.400728000
T;12.458903000;-11.400818000
T;12.458895000;-11.400910000
T;12.458888000;-11.401002000
T;12.458880000;-11.401093000
T;12.458879000;-11.401099000
T;12.458879000;-11.401099000
T;12.458876000;-11.401135000
T;12.458874000;-11.401185000
T;12.458873000;-11.401277000
T;12.458877000;-11.401369000
T;12.458885000;-11.401460000
T;12.458891000;-11.401505000
T;12.458898000;-11.401551000
T;12.458916000;-11.401641000
T;12.458932000;-11.401703000
T;12.458939000;-11.401730000
T;12.458966000;-11.401818000
T;12.458998000;-11.401904000
T;12.459034000;-11.401988000
T;12.459063000;-11.402047000
T;12.459069000;-11.402060000
T;12.459069000;-11.402060000
T;12.459074000;-11.402070000
T;12.459117000;-11.402152000
T;12.459136000;-11.402189000
T;12.459136000;-11.402189000
T;12.459158000;-11.402233000
T;12.459196000;-11.402317000
T;12.459229000;-11.402403000
T;12.459257000;-11.402490000
T;12.459281000;-11.402578000
T;12.459301000;-11.402668000
T;12.459314000;-11.402746000
T;12.459316000;-11.402759000
T;12.459326000;-11.402850000
T;12.459331000;-11.402942000
T;12.459331000;-11.403034000
T;12.459327000;-11.403126000
T;12.459327000;-11.403134000
T;12.459327000;-11.403134000
T;12.459326000;-11.403138000
T;12.459326000;-11.403142000
T;12.467786000;-11.430466000
T;12.467811000;-11.430444000
T;12.467854000;-11.430406000
T;12.467923000;-11.430346000
T;12.467991000;-11.430287000
T;12.468060000;-11.430227000
T;12.468093000;-11.430198000
T;12.468129000;-11.430167000
T;12.468197000;-11.430107000
T;12.468266000;-11.430047000
T;12.468334000;-11.429987000
T;12.468392000;-11.429937000
T;12.468403000;-11.429928000
T;12.468472000;-11.429868000
T;12.468540000;-11.429808000
T;12.468609000;-11.429748000
T;12.468677000;-11.429688000
T;12.468746000;-11.429628000
T;12.468815000;-11.429568000
T;12.468883000;-11.429509000
T;12.468952000;-11.429449000
T;12.469020000;-11.429389000
T;12.469089000;-11.429329000
T;12.469110000;-11.429310000
T;12.469158000;-11.429269000
T;12.469226000;-11.429209000
T;12.469295000;-11.429150000
T;12.469363000;-11.429090000
T;12.469385000;-11.429071000
T;12.469432000;-11.429030000
T;12.469501000;-11.428970000
T;12.469569000;-11.428910000
T;12.469638000;-11.428850000
T;12.469706000;-11.428791000
T;12.469775000;-11.428731000
T;12.469844000;-11.428671000
T;12.469912000;-11.428611000
T;12.469981000;-11.428551000
T;12.470021000;-11.428516000
T;12.470021000;-11.428516000
T;12.470050000;-11.428492000
T;12.470121000;-11.428435000